TEAM,N,WIN,LOSE,WP
ATL,10,5,5,0.5
BKN,10,0,10,0.0
BOS,10,5,5,0.5
CHA,10,5,5,0.5
CHI,10,0,10,0.0
CLE,10,0,10,0.0
DAL,20,15,5,0.75
DEN,20,15,5,0.75
DET,10,0,10,0.0
GSW,0,0,0,0.0
HOU,15,0,15,0.0
IND,10,5,5,0.5
LAC,20,5,15,0.25
LAL,20,5,15,0.25
MEM,20,15,5,0.75
MIA,10,0,10,0.0
MIL,10,5,5,0.5
MIN,20,10,10,0.5
NOP,15,5,10,0.3333333333333333
NYK,10,5,5,0.5
OKC,15,0,15,0.0
ORL,10,5,5,0.5
PHI,10,5,5,0.5
PHX,20,10,10,0.5
POR,15,0,15,0.0
SAC,20,0,20,0.0
SAS,20,10,10,0.5
TOR,10,5,5,0.5
UTA,20,5,15,0.25
WAS,10,5,5,0.5
