TEAM,N,WIN,LOSE,WP
ATL,15,5,10,0.3333333333333333
BKN,20,20,0,1.0
BOS,20,15,5,0.75
CHA,15,10,5,0.6666666666666666
CHI,20,20,0,1.0
CLE,20,10,10,0.5
DAL,10,10,0,1.0
DEN,10,10,0,1.0
DET,0,0,0,0.0
GSW,10,10,0,1.0
HOU,10,5,5,0.5
IND,20,5,15,0.25
LAC,10,10,0,1.0
LAL,10,10,0,1.0
MEM,10,10,0,1.0
MIA,20,15,5,0.75
MIL,20,15,5,0.75
MIN,10,10,0,1.0
NOP,10,10,0,1.0
NYK,15,15,0,1.0
OKC,10,5,5,0.5
ORL,20,5,15,0.25
PHI,20,15,5,0.75
PHX,10,10,0,1.0
POR,10,10,0,1.0
SAC,10,5,5,0.5
SAS,10,5,5,0.5
TOR,15,0,15,0.0
UTA,10,5,5,0.5
WAS,20,20,0,1.0
