TEAM,N,WIN,LOSE,WP
ATL,20,15,5,0.75
BKN,20,15,5,0.75
BOS,15,15,0,1.0
CHA,20,15,5,0.75
CHI,20,15,5,0.75
CLE,15,10,5,0.6666666666666666
DAL,10,5,5,0.5
DEN,10,5,5,0.5
DET,20,15,5,0.75
GSW,10,5,5,0.5
HOU,10,5,5,0.5
IND,15,5,10,0.3333333333333333
LAC,10,10,0,1.0
LAL,10,10,0,1.0
MEM,10,10,0,1.0
MIA,20,15,5,0.75
MIL,20,20,0,1.0
MIN,10,0,10,0.0
NOP,10,5,5,0.5
NYK,20,10,10,0.5
OKC,10,5,5,0.5
ORL,0,0,0,0.0
PHI,20,20,0,1.0
PHX,10,10,0,1.0
POR,10,5,5,0.5
SAC,10,10,0,1.0
SAS,10,10,0,1.0
TOR,15,10,5,0.6666666666666666
UTA,10,5,5,0.5
WAS,20,20,0,1.0
