TEAM,N,WIN,LOSE,WP
ATL,10,5,5,0.5
BKN,10,0,10,0.0
BOS,10,5,5,0.5
CHA,10,0,10,0.0
CHI,10,0,10,0.0
CLE,10,0,10,0.0
DAL,15,0,15,0.0
DEN,15,5,10,0.3333333333333333
DET,10,0,10,0.0
GSW,20,10,10,0.5
HOU,20,0,20,0.0
IND,10,0,10,0.0
LAC,20,10,10,0.5
LAL,20,0,20,0.0
MEM,15,10,5,0.6666666666666666
MIA,10,5,5,0.5
MIL,10,5,5,0.5
MIN,15,0,15,0.0
NOP,20,5,15,0.25
NYK,10,0,10,0.0
OKC,20,5,15,0.25
ORL,10,0,10,0.0
PHI,10,0,10,0.0
PHX,0,0,0,0.0
POR,20,5,15,0.25
SAC,20,10,10,0.5
SAS,20,0,20,0.0
TOR,10,5,5,0.5
UTA,20,5,15,0.25
WAS,10,0,10,0.0
